Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Bernard Matthews,Kraft Heinz,Coca-Cola,Anheuser-Busch InBev,Imperial Tobacco,Melissa & Doug ,20th Century Fox,Pearson,Xerox,Christian Dior,CVS Health,Johnson & Johnson,Pfizer,Monsanto,Goodyear Tire & Rubber,,Cie de Saint-Gobain,Laing O'Rourke,ArcelorMittal,Mayville Engineering,Caterpillar,General Electric,Volkswagen,Boeing,Maersk,Lockheed Martin,Goldcorp,Glencore,BHP Bilton,Saudi Aramco,Duke Energy,China Mobile,,Deloitte,Samsung,Microsoft,Intel,Thermo Fisher Scientific,International Paper,,UPS,Alta Praha,Walmart,McDonald's,Bank of China,AXA,CBRE,Exor,
BASF,JBS,Nestle,SABMiller,Philip Morris,MEGA Bloks,21st Century Fox,Reed Elsevier,Kodak,Nike,McKesson, General Electric Co,Johnson & Johnson,BASF,Carlisle Companies,,CRH PLC,BAM Group,Hesteel Group,O'Neal Manufacturing,Komatsu,Apple Inc,Toyota,Airbus Group ,Mediterranean Shipping,Boeing,Barrick Gold,Xstrata,Sample Company corp,Sinopec,Engie,Verizon,,PwC,Foxconn,Oracle,Taiwan Semiconductor,Danaher,Nine Dragon Paper Holdings,,Fedex,Altronics,Wal-mart,McDonalds,BNP Paribas,Zurich Insurance,JLL,Berkshire Hathaway,
AVEBE,Tyson foods,Pepsico,Heineken,British American Tobacco,LeapFrog ,Columbia Pictures,Thomson Reuters,Harley Davidson,Inditex,UnitedHealth,Siemens,Hospira,Dow Chemical,Cooper Tire & Rubber,,Holcim,Kiewit,Nippon Steel,Ironform,Hitachi,Harman International,Daimler,Lockheed Martin,CMA CGM,BAE Systems,Newmont Mining,BHP Bilton,CONSOL Energy,China National Petroleum Corporation,National Grid,AT&T,,Strategy&,Nokia,IBM,Qualcomm,Agilent Technologies,WestRock,,Union Pacific,Amerisource,Macys,Chipotle,Societe generale,China Life Insurance,Cushman & Wakefield,Fannie Mae,
Archer Daniels,Cargill,Mondelez,Suntory,Japan Tobacco,Jakks Pacific,MGM,Wolters Kluwer,Unilever,H&M,Express Scripts Holdings,Medtronic Inc,Allergan,Sinopec,Dow Chemical,,China National Building Materials,Bouygues Construction,Sumitomo Metal,BTD Manufacturing,Volvo,Universal Electronics,General Motors,United Technologies ,China COSCO,Raytheon,Polyus Gold,Rio Tinto,Whitehaven Coal,PetroChina,NetEra,Vodafone,,EY,Dell,SAP,Texas Instruments,Shimadzu,UPM,,Deutsche Post,Associated Grocers,Macy's,Domino's,Goldman Sachs,Prudential plc,Colliers International,Freddie Mac,
Alico,Danone,Mars Inc,Kirin Holdings,Altria,Playmobil,Metro Goldwyn Mayer, Hachette Livre,P&G,Zara,Cardinal Health,Baxter International,Novartis,SABIC,Lyondell Basell,,Lafarge Group,Balfour Beatty,POSCO,Quality Industries,Terex,Schneider,Ford,General Dynamics,Evergreen Marine,General Dynamics,Newcrest Mining,China Shenhua,Alliance Holdings,Exxon Mobil,EDF,Nippon Telegraph & Telephone,,Ernst & Young,Toshiba,Symantec,Avago,Roche Diagnostics,Stora Enso,,ξDelta Air Lines,Bama Gruppen,TJ Maxx,Panera,ING,United Heath,Newmark Grubb,Credit Suisse Group,
Alberta Wheat,Lactalis,Ferrero,Diageo,Reynolds American,MGA Entertainment,Paramount Pictures, Grupo Planeta,Procter & Gamble,coach,"Walgreens", Fresenius Medical Care,Roche,ExxonMobil,SABICξ,,HeidelbergCement,Skanska,Baosteel,Millenia Products,Liebherr,Siemens,Honda,BAE Systems,Hapag-Lloyd,Northop Gumman,Yamana Gold,Vale S.A,Orpheus Energy,Exxon,Enel,Softbank,,KPMG,LG,EMC,ASML,PerkinElmer,Oji Paper Company,,Airline,Anglia Regional Co-operative Society,TK Maxx,KFC,China Construction Bank,Munich Re,Knight Frank,,
Agrium,Fonterra,FEMSA,Asahi Group,ITC,Hasbro,Viacom,McGraw-Hill Education,Reckit Benckiser,Burberry,Johnson & Johnson,Koninklijke Philips Electronics,Bayer ,Formosa Plastics,Exxon Mobil,,Cemex SAB,Hochtief,Jiangsu Shagang,Standard Iron & Wire Works,John Deere,Prysmian,Hyundai,Northrop Grumman,Yang Ming Marine,Airbus,Kinross Gold,Norilsk Nickel,New Hope Corp,Royal Dutch Shell,Dominion Resources,Deutsche Telekom,,Booz & co,Cisco,HP,ARM Holdings,Carl Zeiss, Sappi,,united airlines,Bertel O. Steen,TJX Cos,Pizza Hut,Santander,Assicurazioni Generali,Eastdil Secured,,
AgriSA,General Mills Inc.,Cott,Carlsberg,Gudang Garam,Lego,Universal Studios,Random House,,Hermes,Aetna,Covidien,,LyondellBasell,INEOS,,Anhui Conch Cement,Bechtel,Ansteel, Merrill Technologies,XCMG,Emerson,Nissan,Raytheon Company,Orient Overseas Container,Leonardo Spa,AngoGold,Grupo Mexico,Peabody Energy,Kuwait Petroleum,Iberdrola,Telefonica,,Booz & company,Canon,Hewlett-Packard,Applied Materials,Bruker,Smurfit Kappa Group,,Lufthansa,Brown Shoe,,Taco Bell,JP Morgan,Allianz,Marcus & Millichap,,
Agria Corporation,FrieslandCampina,Britvic,Pernod Ricard,KY&G,Mattel,Warner Bros,Holtzbrinck,,,,Novartis,,DuPont ,BASFξ,,Taiheiyo Cement,Grupo ACS,JFE,General Sheet Metal Works,Sany,Sumitomo Electric,Fiat Chrysler,Safran Group,United Arab Shipping,L-3 Communications,Gold Fields,Potash Corp,Natural Resource Partners,BP,Southern company,America Movil,,Accenture,Fujitsu,VMWare,Renesas Electronics,Mettler Toledo,DS Smith,,Eurowings,Cardinal Health,,Olive Garden,HSBC,Generali ,HFF,,
Adler Seeds,ConAgra Foods,Bundaberg,,,,Dreamworks,Scholastic Corporation,,,,Cardinal Health,,Ineos,ENIξ,,Italcementi,Vinci,Shougang,Robinson Metal,Doosan,Legrand,Suzuki,Rolls-Royce Holdings,NYK Line,Thales,Eldorado Gold,Saudi Arabian Mining,Cloud Peak Energy,Total SA,Hanergy,China Telecom,,McKinsey,Quanta,Salesforce,Infineon Technologies,Bio-Rad Laboratories, Nippon Paper,,Austrian Airlines,Cash & Carry,,Dunkin' Donutsξ,Bank of America,Aviva,NAI Global,,
Adecoagro,Kellogg,Schweppes,,,,Weinstein,Cengage Learning,,,,Stryker Corp,,Bayer,LG Chem,,,,Tata Steel,,,Hitachi,Renault,,Mitsui O.S.K.,Almaz-Antey,Franco-Nevada,Mosaic Company,Eden Energy,Lukoil,,,,CGI,Motorola,CA Technologies,,,,,Brussels Airlines,Cash and carry,,Baskin-Robbins,Wells Fargo,MetLife,SVN,,
,Grupo Bimbo,Coca Cola,,,,Lions Gate,Wiley,,,,,,,,,,,Wuhan Iron and Steel,,,Mitsubishi Electric,PSA,,Hyundai Merchant Marine,,Agnico Eagle Mines,,Westmoreland Coal,Eni,,,,CSC,,,,,,,Swiss Airline,Chemische Fabrik,,Chili's,Citigroup,American International Group,,,
,Smithfield Foods,,,,,News Corporation,,,,,,,,,,,,,,,Fuji Electric,BMW,,Pacific International Lines,,,,,Valero Energy,,,,TCS,,,,,,,Air france,,,Maggiano's,Banco Bradesco,China Life Insurance,,,
,,,,,,Comcast,,,,,,,,,,,,,,,,SAIC,,Zim Integrated Shipping,,,,,Petrobas,,,,,,,,,,,Airfrance,,,,Lloyds Banking Group,Legal & General Group,,,
,,,,,,Walt Disney Company,,,,,,,,,,,,,,,,Mazda,,,,,,,,,,,,,,,,,,KLM,,,,,Dai-ichi Life,,,
,,,,,,Time Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aer Lingus,,,,,,,,
,,,,,,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,british airways,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAG Cargo,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iberia,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEVEL,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vueling,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avios,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southwest Airlines,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Southern Airlines,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Eastern Airlines,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Nippon Airlines,,,,,,,,
